7 Faces of Dr. Lao,1964
7th Heaven,1927
8 Mile,2002
12 Years a Slave,2013
20 Feet from Stardom,2013
2001: A Space Odyssey,1968
20000 Leagues Under the Sea,1954
The Abyss,1989
The Accidental Tourist,1988
The Accountant,2001
The Accused,1988
Adaptation,2002
Adventures of Don Juan,1948
"The Adventures of Priscilla, Queen of the Desert",1994
The Adventures of Robin Hood,1938
Affliction,1997
The African Queen,1951
The Age of Innocence,1993
Air Force,1943
Airport,1970
Aladdin,1992
The Alamo,1960
The Alaskan Eskimo,1953
Albert Schweitzer,1957
Alexander's Ragtime Band,1938
Alice in Wonderland,2010
Alice Doesn't Live Here Anymore,1974
Alien,1979
Aliens,1986
All About Eve,1950
All About My Mother ,1999
All Quiet on the Western Front,1930
All That Jazz,1979
All That Money Can Buy ,1941
All the King's Men,1949
All the President's Men,1976
Almost Famous,2000
Ama Girls,1958
Amadeus,1984
Amarcord,1974
America America,1963
American Beauty,1999
American Dream,1990
An American in Paris,1951
An American Werewolf in London,1981
Amour,2012
Amphibious Fighters,1943
Anastasia,1956
Anchors Aweigh,1945
The Anderson Platoon ,1967
Angel and Big Joe,1975
Anna and the King of Siam,1946
Anna Karenina,2012
Anne Frank Remembered,1995
Anne of the Thousand Days,1969
Annie Get Your Gun,1950
Annie Hall,1977
Anthony Adverse,1936
Antonia's Line ,1995
The Apartment,1960
Apocalypse Now,1979
Apollo 13,1995
The Appointments of Dennis Jennings,1988
Argo,2012
"Arise, My Love",1940
Arthur,1981
Arthur Rubinstein – The Love of Life ,1969
The Artist,2011
As Good as It Gets,1997
The Assault ,1986
Atonement,2007
Avatar,2009
The Aviator,2004
The Awful Truth,1937
Babe,1995
Babel,2006
Babette's Feast ,1987
The Bachelor and the Bobby-Soxer,1947
Back to the Future,1985
The Bad and the Beautiful,1952
Bad Girl,1931
Balance,1989
The Barbarian Invasions,2003
The Barefoot Contessa,1954
Barry Lyndon,1975
Batman,1989
The Battle of Midway,1942
Battleground,1949
Bear Country,1953
A Beautiful Mind,2001
Beauty and the Beast,1991
Becket,1964
Bedknobs and Broomsticks,1971
Beetlejuice,1988
Beginners,2011
Being There,1979
Belle Époque ,1993
The Bells of St. Mary's,1945
Ben-Hur,1959
Benjy,1951
The Bespoke Overcoat,1956
Best Boy,1979
The Best Years of Our Lives,1946
Beyond the Line of Duty,1942
The Big Broadcast of 1938,1938
The Big Country,1958
The Big House,1930
Big Mama,2000
Bill and Coo,1948
Bird,1988
Birds Anonymous,1957
The Bishop's Wife,1947
Black and White in Color ,1976
Black Fox,1962
Black Hawk Down,2001
Black Narcissus,1947
Black Orpheus ,1959
The Black Stallion,1979
Black Swan,2010
The Black Swan,1942
The Blind Side,2009
Blithe Spirit,1946
Blood and Sand,1941
The Blood of Yingzhou District,2006
Blood on the Sun,1945
Blossoms in the Dust,1941
Blue Jasmine,2013
Blue Sky,1994
Bob's Birthday,1994
Body and Soul,1947
The Bolero,1973
Bonnie and Clyde,1967
Bored of Education,1936
Born Free,1966
Born into Brothels,2004
Born on the Fourth of July,1989
Born Yesterday,1950
Bound for Glory,1976
The Bourne Ultimatum,2007
Bowling for Columbine,2002
The Box,1967
A Boy and His Dog,1946
Boys and Girls,1983
Boys Don't Cry,1999
Boys Town,1938
Bram Stoker's Dracula,1992
Brave,2012
The Brave One,1956
Braveheart,1995
Breakfast at Tiffany's,1961
Breaking Away,1979
Breaking the Sound Barrier,1952
Breathing Lessons: The Life and Work of Mark O'Brien,1996
The Bridge of San Luis Rey,1929
The Bridge on the River Kwai,1957
Broadway Melody of 1936,1935
The Broadway Melody,1929
Brokeback Mountain,2005
Broken Lance,1954
Broken Rainbow,1985
The Buddy Holly Story,1978
Bugsy,1991
Bullets over Broadway,1994
Bullitt,1968
Bunny,1998
Burnt by the Sun ,1994
Busy Little Bears,1939
Butch Cassidy and the Sundance Kid,1969
BUtterfield 8,1960
Butterflies Are Free,1972
Cabaret,1972
Cactus Flower,1969
Calamity Jane,1953
California Suite,1978
Call Me Madam,1953
Camelot,1967
The Candidate,1972
Capote,2005
"Captain Carey, U.S.A.",1950
Captains Courageous,1937
Casals Conducts: 1964,1964
Cat Ballou,1965
Cavalcade,1933
Chagall,1963
The Champ,1931
Champion,1949
A Chance to Live,1949
Character ,1997
Charade,1984
The Charge of the Light Brigade,1936
Chariots of Fire,1981
Charly,1968
Chernobyl Heart,2003
Chicago,2002
The Chicken ,1965
Children of a Lesser God,1986
Chinatown,1974
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005
The Chubbchubbs!,2002
Churchill's Island,1941
The Cider House Rules,1999
Cimarron,1931
The Circus,1928
Citizen Kane,1941
City of Wax,1934
City Slickers,1991
Cleopatra,1934
Cleopatra,1963
Climbing the Matterhorn,1947
Close Encounters of the Third Kind,1977
Close Harmony,1981
A Close Shave,1995
Closed Mondays,1974
Closely Watched Trains ,1967
Coal Miner's Daughter,1980
Cocoon,1985
Cold Mountain,2003
The Color of Money,1986
Come and Get It,1936
"Come Back, Little Sheba",1952
Coming Home,1978
Common Threads: Stories from the Quilt,1989
The Constant Gardener,2005
Cool Hand Luke,1967
Coquette,1929
The Counterfeiters ,2007
The Country Cousin,1936
The Country Girl,1954
The Cove,2009
Cover Girl,1944
The Cowboy and the Lady,1938
Crac,1981
Crash,2005
Crash Dive,1943
Crashing the Water Barrier,1956
Crazy Heart,2009
Cries and Whispers ,1973
The Critic,1963
Cromwell,1970
"Crouching Tiger, Hidden Dragon",2000
The Crunch Bird,1971
The Crying Game,1992
Curfew,2012
The Curious Case of Benjamin Button,2008
Cyrano de Bergerac,1950
Cyrano de Bergerac,1990
Dallas Buyers Club,2013
A Damsel in Distress,1937
Dances with Wolves,1990
Dangerous,1935
Dangerous Liaisons,1988
Dangerous Moves ,1984
The Danish Poet,2006
The Dark Angel,1935
The Dark Knight,2008
Darling,1965
The Dawn Patrol,1930
Day for Night ,1973
Day of the Painter,1960
Days of Heaven,1978
Days of Wine and Roses,1962
Dead Man Walking,1995
Dead Poets Society,1989
"Deadly Deception: General Electric, Nuclear Weapons and Our Environment",1991
Dear Diary,1996
Death Becomes Her,1992
Death on the Nile,1978
December 7th,1943
Declaration of Independence,1938
The Deer Hunter,1978
The Defiant Ones,1958
The Departed,2006
Departures,2008
Der Fuehrer's Face,1942
Dersu Uzala,1975
The Descendants,2011
Desert Victory,1943
Design for Death,1947
Designing Woman,1957
Destination Moon,1950
The Diary of Anne Frank,1959
Dick Tracy,1990
Dirty Dancing,1987
The Dirty Dozen,1967
The Discreet Charm of the Bourgeoisie ,1972
Disraeli,1929
The Divine Lady,1929
The Divorcee,1930
Django Unchained,2012
Doctor Dolittle,1967
Doctor Zhivago,1965
Dodsworth,1936
Dog Day Afternoon,1975
Don't,1974
The Dot and the Line ,1965
A Double Life,1947
Down and Out in America,1986
The Dove,1927
Dr. Jekyll and Mr. Hyde,1932
Dr. Seuss' How the Grinch Stole Christmas ,2000
Dreamgirls,2006
Driving Miss Daisy,1989
The Duchess,2008
Dumbo,1941
E.T.: The Extra-Terrestrial,1982
Earthquake,1974
East of Eden,1955
Easter Parade,1948
Ed Wood,1994
Educating Peter,1992
Election Night ,1998
The Eleanor Roosevelt Story,1965
Elizabeth,1998
Elizabeth: The Golden Age,2007
Elmer Gantry,1960
Emma,1996
The Empire Strikes Back,1980
The Enemy Below,1957
The English Patient,1996
Erin Brockovich,2000
Ersatz ,1961
Eternal Sunshine of the Spotless Mind,2004
Every Child,1979
Evita,1996
Exodus,1960
The Exorcist,1973
Facing Your Danger,1946
The Facts of Life,1960
Fame,1980
Fanny & Alexander ,1983
Fantasia,1940
The Fantastic Flying Books of Mr. Morris Lessmore,2011
Fantastic Voyage,1966
A Farewell to Arms,1932
Fargo,1996
The Farmer's Daughter,1947
Father Goose,1964
Fellini's Casanova ,1976
Ferdinand the Bull,1938
Fiddler on the Roof,1971
The Fighter,2010
The Fighting Lady,1944
Finding Nemo,2003
Finding Neverland,2004
First Steps,1947
A Fish Called Wanda,1988
The Fisher King,1991
Flamenco at 5:15,1983
Flashdance,1983
The Flight of the Gossamer Condor,1978
Flowers and Trees,1932
The Fly ,1980
The Fly,1986
The Fog of War ,2003
Forbidden Games,1952
A Force in Readiness,1961
For Scent-imental Reasons,1949
For the Birds,2001
For Whom the Bell Tolls,1943
Forrest Gump,1994
The Fortune Cookie,1966
Frank Film,1973
A Free Soul,1931
Freeheld,2007
The French Connection,1971
Frida,2002
From Here to Eternity,1953
Frozen,2013
The Fugitive,1993
The Full Monty,1997
Funny Girl,1968
A Funny Thing Happened on the Way to the Forum,1966
Gandhi,1982
The Garden of Allah,1936
The Garden of the Finzi-Continis ,1971
Gaslight,1944
Gate of Hell ,1954
Gentleman's Agreement,1947
Gerald McBoing-Boing,1950
Geri's Game,1997
Get Out Your Handkerchiefs ,1978
Ghost,1990
The Ghost and the Darkness,1996
Giant,1956
Gigi,1958
"Girl, Interrupted",1999
The Girl with the Dragon Tattoo,2011
Giuseppina,1960
Give Me Liberty,1936
Gladiator,2000
Glass ,1959
The Glenn Miller Story,1954
Glory,1989
The Godfather,1972
God of Love,2010
Gods and Monsters,1998
Going My Way,1944
Gold Diggers of 1935,1935
The Golden Compass,2007
The Golden Fish ,1959
Goldfinger,1964
Gone with the Wind,1939
The Good Earth,1937
Good Will Hunting,1997
The Goodbye Girl,1977
"Goodbye, Mr. Chips",1939
Goodfellas,1990
Gosford Park,2001
The Graduate,1967
Grand Canyon,1958
Grand Hotel,
Grand Prix,1966
Grandad of Races,1950
The Grapes of Wrath,1940
Gravity,2013
Gravity Is My Enemy,1977
Great (Great ,1975
The Great American Cowboy,1973
The Great Beauty,2013
The Great Caruso,1951
The Great Gatsby,1974
The Great Gatsby,2013
The Great Lie,1941
The Great McGinty,1940
The Great Race,1965
The Great Waltz,1938
The Great Ziegfeld,1936
The Greatest Show on Earth,1952
Green Dolphin Street,1947
Guess Who's Coming to Dinner,1967
The Guns of Navarone,1961
Hamlet,1948
Hannah and Her Sisters,1986
Happy Feet,2006
Harry and the Hendersons,1987
Harry and Tonto,1974
Harvey,1950
The Harvey Girls,1946
Harvie Krumpet,2003
He Makes Me Feel Like Dancin',1983
Hearts and Minds,1974
Heaven Can Wait,1978
Heavenly Music,1943
The Heiress,1949
Helen Keller in Her Story ,1955
Helium,2013
"Hello, Dolly!",1969
The Hellstrom Chronicle,1971
The Help,2011
Henry V,1989
Her,2013
Here Comes Mr. Jordan,1941
Here Comes the Groom,1951
Heureux Anniversaire ,1962
The High and the Mighty,1954
High Noon,1952
The Hindenburg,1975
Hitler Lives,1945
The Hole,1962
A Hole in the Head,1959
Holiday Inn,1942
The Horse with the Flying Tail,1960
The Hospital,1971
The Hours,2002
The House I Live In,1945
The House on 92nd Street,1945
How Green Was My Valley,1941
How to Sleep,1935
Howards End,1992
Hud,1963
Hugo,2011
The Human Comedy,1943
The Hunt for Red October,1990
The Hurricane,1937
The Hurt Locker,2009
Hustle & Flow,2005
The Hustler,1961
I Am a Promise: The Children of Stanton Elementary School,1993
I Want to Live!,1958
I Wanted Wings,1941
I Won't Play,1944
If You Love This Planet,1982
Il Postino ,1995
I'll Cry Tomorrow,1955
I'll Find a Way,1977
In a Better World,2010
In Old Arizona,1928
In Old Chicago,1937
In the Heat of the Night,1967
In the Region of Ice,1976
In the Shadow of the Stars,1991
In Which We Serve,1942
Inception,2010
An Inconvenient Truth,2006
The Incredibles,2004
Independence Day,1996
Indiana Jones and the Last Crusade,1989
Indiana Jones and the Temple of Doom,1984
Indochine,1992
The Informer,1935
Inglourious Basterds,2009
Innerspace,1987
Inocente,2012
Inside Job,2010
Interrupted Melody,1955
Into the Arms of Strangers: Stories of the Kindertransport,2000
Investigation of a Citizen Above Suspicion ,1970
Iris,2001
Irma la Douce,1963
The Iron Lady,2011
Is It Always Right to Be Right?,1970
It Happened One Night,1934
"It's a Mad, Mad, Mad, Mad World",1963
It's Tough to Be a Bird,1969
World Without Sun ,1964
Jaws,1975
The Jazz Singer,1927
Jerry Maguire,1996
Jezebel,1938
JFK,1991
Joan of Arc,1948
Johann Mouse,1952
Johnny Belinda,1948
The Johnstown Flood,1989
The Joker Is Wild,1957
The Jolson Story,1946
Journey of Hope ,1990
Judgment at Nuremberg,1961
Julia,1977
Julius Caesar,1953
Juno,2007
Jurassic Park,1993
Karl Hess: Toward Liberty,1980
Kentucky,1938
Key Largo,1948
The Killing Fields,1984
The King and I,1956
King Gimp,1999
King Kong,1976
King Kong,2005
King of Jazz,1930
King Solomon's Mines,1950
The King's Speech,2010
Kiss of the Spider Woman,1985
Kitty Foyle ,1940
Klute,1971
Knighty Knight Bugs,1958
Kokoda Front Line,1942
Kolya,1996
Krakatoa,1933
Kramer vs. Kramer,1979
Kukan,1941
L.A. Confidential,1997
La Cucaracha,1934
La Dolce Vita,1961
La Vie en rose,2007
Lady Be Good,1941
The Last Command,1928
The Last Days,1998
The Last Emperor,1987
The Last King of Scotland,2006
The Last of the Mohicans,1992
The Last Picture Show,1971
Laura,1944
Lawrence of Arabia,1962
Le Mozart des Pickpockets ,2007
Leave Her to Heaven,1945
Leaving Las Vegas,1995
Legends of the Fall,1994
Leisure,1976
Lemony Snicket's A Series of Unfortunate Events,2004
Lend a Paw,1941
Les Girls,1957
Les Misérables,2012
Let It Be,1970
A Letter to Three Wives,1949
Letters from Iwo Jima,2006
Lieberman in Love,1995
Life Is Beautiful ,1998
The Life of Emile Zola,1937
Life of Pi,2012
Light in the Window,1952
Lili,1953
Lilies of the Field,1963
Lincoln,2012
The Lion in Winter,1968
The Lion King,1994
The Little Mermaid,1989
Little Miss Sunshine,2006
A Little Night Music,1977
The Little Orphan,1948
A Little Romance,1979
Little Women,1933
Little Women,1949
The Lives of a Bengal Lancer,1935
The Lives of Others ,2006
The Living Desert,1953
Logan's Run,1976
Logorama,2009
The Long Way Home,1997
The Longest Day,1962
The Lord of the Rings: The Fellowship of the Ring,2001
The Lord of the Rings: The Return of the King,2003
The Lord of the Rings: The Two Towers,2002
Lost Horizon,1937
Lost in Translation,2003
The Lost Thing,2010
The Lost Weekend,1945
Love Is a Many-Splendored Thing,1955
Love Me or Leave Me,1955
Love Story,1970
Lovers and Other Strangers,1970
Lust for Life,1956
Madame Rosa ,1977
The Madness of King George,1994
The Magic Machines,1969
Magoo's Puddle Jumper,1956
Main Street on the March!,1941
A Man and a Woman,1966
A Man for All Seasons,1966
Man on Wire,2008
The Man Who Knew Too Much,1956
The Man Who Planted Trees ,1987
The Man Who Skied Down Everest,1975
Manhattan Melodrama,1934
Manipulation,1991
March of the Penguins ,2005
Marie Antoinette,2006
Marjoe,1972
Marooned,1969
Marty,1955
Mary Poppins,1964
Mask,1985
Master and Commander: The Far Side of the World,2003
The Matrix,1999
Maya Lin: A Strong Clear Vision,1994
Mediterraneo,1991
Melvin and Howard,1980
Memoirs of a Geisha,2005
Men Against the Arctic,1955
Men in Black,1997
Mephisto,1981
The Merry Widow,1934
Michael Clayton,2007
Midnight Cowboy,1969
Midnight Express,1978
Midnight in Paris,2011
A Midsummer Night's Dream,1935
Mighty Aphrodite,1995
Mighty Joe Young,1949
Mighty Times: The Children's March,2004
The Milagro Beanfield War,1988
Mildred Pierce,1945
Milk,2008
The Milky Way,1940
Million Dollar Baby,2004
Min and Bill,1930
Miracle on 34th Street,1947
The Miracle Worker,1962
Misery,1990
Missing,1982
The Mission,1986
Mississippi Burning,1988
Mister Roberts,1955
Molly's Pilgrim,1985
Mona Lisa Descending a Staircase,1992
Monster,2003
Monster's Ball,2001
"Monsters, Inc.",2001
The Moon and the Son: An Imagined Conversation,2005
Moonbird,1959
Moonstruck,1987
The More the Merrier,1943
Morning Glory,1933
Moscow Strikes Back,1942
Mother Wore Tights,1947
The Motorcycle Diaries,2004
Moulin Rouge,1952
Moulin Rouge!,2001
Mouse Trouble,1944
Mr. Deeds Goes to Town,1936
Mr Hublot,2013
Mr. Smith Goes to Washington,1939
Mrs. Doubtfire,1993
Mrs. Miniver,1942
The Muppets,2011
Murder on a Sunday Morning ,2001
Murder on the Orient Express,1974
The Music Box,1932
The Music Man,1962
Mutiny on the Bounty,1935
My Cousin Vinny,1992
My Fair Lady,1964
My Gal Sal,1942
My Left Foot,1989
My Uncle ,1958
Mystic River,2003
The Naked City,1948
Nashville,1975
Nature's Half Acre,1951
Naughty Marietta,1935
Neighbours,1952
Neptune's Daughter,1949
Network,1976
Never on Sunday ,1960
The New Tenants,2009
Nicholas and Alexandra,1971
The Night of the Iguana,1964
Nights of Cabiria ,1957
Nine from Little Rock,1964
No Country for Old Men,2007
No Man's Land,2001
None But the Lonely Heart,1944
Norma Rae,1979
Norman Rockwell's World... An American Dream,1972
North West Mounted Police,1940
A Note of Triumph: The Golden Age of Norman Corwin,2005
"Now, Voyager",1942
Nowhere in Africa ,2002
Number Our Days,1976
The Nutty Professor,1996
Of Pups and Puzzles,1941
An Officer and a Gentleman,1982
The Official Story ,1985
Oklahoma!,1955
The Old Man and the Sea,1958
The Old Man and the Sea,1999
The Old Mill,1937
Oliver!,1968
The Omen,1976
Omnibus,1992
On Golden Pond,1981
On the Town,1949
On the Waterfront,1954
Once,2007
One Day in September,1999
One Flew over the Cuckoo's Nest,1975
One Hundred Men and a Girl,1937
One Night of Love,1934
One Way Passage,1932
One-Eyed Men Are Kings ,1974
Ordinary People,1980
Out of Africa,1985
Overture to The Merry Wives of Windsor,1953
The Paleface,1948
The Panama Deception,1992
Panic in the Streets,1950
Pan's Labyrinth ,2006
Papa's Delicate Condition,1963
The Paper Chase,1973
Paperman,2012
Paper Moon,1973
A Passage to India,1984
A Patch of Blue,1965
The Patriot,1928
Patton,1970
Paul Robeson: Tribute to an Artist,1979
Pearl Harbor,2001
Pelle the Conqueror ,1988
Penny Wisdom,1937
The Personals,1998
Phantom of the Opera,1943
Philadelphia,1993
The Philadelphia Story,1940
The Pianist,2002
The Piano,1993
Picnic,1955
The Picture of Dorian Gray,1945
Pillow Talk,1959
The Pink Phink,1964
Pinocchio,1940
Pirates of the Caribbean: Dead Man's Chest,2006
A Place in the Sun,1951
Places in the Heart,1984
Planet of the Apes,1968
Platoon,1986
Plymouth Adventure,1952
Pocahontas,1995
Pollock,2000
Porgy and Bess,1959
Pollyanna,1960
Portrait of Jennie,1948
The Poseidon Adventure,1972
Prelude To War,1942
Precious,2009
Precious Images,1986
Pride and Prejudice,1940
The Pride of the Yankees,1942
The Prime of Miss Jean Brodie,1969
The Prince of Egypt,1998
Princess O'Rourke,1943
The Private Life of Henry VIII,1933
Prizzi's Honor,1985
Project Hope,1961
The Public Pays,1936
Pulp Fiction,1994
Purple Rain,1984
Pygmalion,1938
The Queen,2006
Quest,1996
Quest for Fire,1982
Quicker'n a Wink,1940
Quiero ser ,2000
The Quiet Man,1952
Quiet Please!,1945
Raging Bull,1980
Raiders of the Lost Ark,1981
Rain Man,1988
The Rains Came,1939
Ran,1985
Rango,2011
Ratatouille,2007
Ray,2004
Ray's Male Heterosexual Dance Hall,1987
The Razor's Edge,1946
The Reader,2008
Reap the Wild Wind,1942
Rebecca,1940
The Red Balloon ,1956
The Red Shoes,1948
The Red Violin ,1999
Reds,1981
The Redwoods,1967
Restoration,1995
The Resurrection of Broncho Billy,1970
Return of the Jedi,1983
Reversal of Fortune,1990
The Right Stuff,1983
The River,1984
A River Runs Through It,1992
Road to Perdition,2002
The Robe,1953
Robert Frost: A Lover's Quarrel with the World,1963
Robert Kennedy Remembered,1968
RoboCop,1987
Rocky,1976
Roman Holiday,1953
Romeo and Juliet,1968
Room at the Top,1959
A Room with a View,1986
The Rose Tattoo,1955
Rosemary's Baby,1968
Round Midnight,1986
Ryan,2004
Ryan's Daughter,1970
Sabrina,1954
San Francisco,1936
The Sand Castle ,1977
The Sandpiper,1965
Save the Tiger,1973
Saving Face,2011
Saving Private Ryan,1998
Sayonara,1957
Scared Straight!,1978
Scent of a Woman,1992
Schindler's List,1993
Schwarzfahrer ,1993
The Scoundrel,1935
The Sea Inside,2004
Seal Island,1948
The Search,1948
Searching for Sugar Man,2012
Seawards the Great Ships,1961
The Secret in Their Eyes,2009
The Secret Land,1948
Seeds of Destiny,1946
Sense and Sensibility,1995
Sentinels of Silence,1971
Separate Tables,1958
A Separation,2011
Serengeti Shall Not Die ,1959
Sergeant York,1941
Session Man,1991
Seven Brides for Seven Brothers,1954
Shaft,1971
Shakespeare in Love,1998
Shampoo,1975
Shane,1953
Shanghai Express,1932
She Wore a Yellow Ribbon,1949
Shine,1996
Ship of Fools,1965
A Shocking Accident,1982
The Shop on Main Street ,1965
The Shore,2011
Shrek,2001
Sideways,2004
The Silence of the Lambs,1991
The Silent World ,1956
Silver Linings Playbook,2012
The Sin of Madelon Claudet,1931
Since You Went Away,1944
Skippy,1931
Sky Above and Mud Beneath ,1961
Skyfall,2012
Sleepy Hollow,1999
Sling Blade,1996
Slumdog Millionaire,2008
Smile Pinki,2008
The Snake Pit,1948
Snow White and the Seven Dwarfs,1937
So Much for So Little,1949
So This Is Harris!,1933
The Social Network,2010
The Solid Gold Cadillac,1956
Some Like It Hot,1959
Somebody Up There Likes Me,1956
The Song of Bernadette,1943
Song Without End,1960
Sons and Lovers,1960
Sons of Liberty,1939
Sophie's Choice,1982
South Pacific,1958
Spartacus,1960
Spawn of the North,1938
Speaking of Animals and Their Families,1942
Special Delivery,1978
Speed,1994
Speedy Gonzales,1955
Spider-Man 2,2004
Spellbound,1945
Splendor in the Grass,1961
Stagecoach,1939
Stairway to Light,1945
Stalag 17,1953
Star in the Night,1945
A Star Is Born,1937
A Star Is Born,1976
Star Trek,2009
Star Wars,1977
State Fair,1945
The Sting,1973
The Stone Carvers,1984
A Story of Healing,1997
Strangers No More,2010
The Stratton Story,1949
Street Angel,1928
A Streetcar Named Desire,1951
Strike Up the Band,1940
The Subject Was Roses,1968
Summer of '42,1971
Sundae in New York,1983
Sundays and Cybele ,1962
Sunrise,
The Sunshine Boys,1975
Superman,1978
Survival City,1955
Suspicion,1941
Sweeney Todd: The Demon Barber of Fleet Street,2007
Sweet Bird of Youth,1962
Sweethearts,1938
Swing Time,1936
Syriana,2005
Tabu,1931
Talk to Her ,2002
Tango,1982
Target For Tonight,1941
Tarzan,1999
Taxi to the Dark Side,2007
Teenage Father,1978
The Ten Commandments,1956
The Ten-Year Lunch: The Wit and Legend of the Algonquin Round Table,1987
Tender Mercies,1983
Terminator 2: Judgment Day,1991
Terms of Endearment,1983
Thank God It's Friday,1978
That Hamilton Woman,1941
That Mothers Might Live,1938
Thelma & Louise,1991
There Will Be Blood,2007
"They Shoot Horses, Don't They?",1969
The Thief of Bagdad,1940
Thirty Seconds Over Tokyo,1944
This Above All,1942
This Charming Man ,2002
This Is the Army,1943
This Land Is Mine,1943
This Mechanical Age,1954
This Tiny World,1972
The Thomas Crown Affair,1968
Thoroughly Modern Millie,1967
A Thousand Clowns,1965
Three Coins in the Fountain,1954
The Three Faces of Eve,1957
Three Little Pigs,1933
Three Orphan Kittens,1935
Through a Glass Darkly ,1961
Thunderball,1965
Thursday's Children,1954
A Time for Justice,1994
The Time Machine,1960
A Time Out of War,1954
The Times of Harvey Milk,1984
The Tin Drum ,1979
Tin Pan Alley,1940
Tin Toy,1988
The Titan: Story of Michelangelo,1950
Titanic,1953
Titanic,1997
To Begin Again ,1982
To Catch a Thief,1955
To Each His Own,1946
To Kill a Mockingbird,1962
Tom Jones,1963
tom thumb,1958
Tootsie,1982
Top Gun,1986
Topkapi,1964
Topsy-Turvy,1999
Tora! Tora! Tora!,1970
Torture Money,1937
Total Recall,1990
A Touch of Class,1973
Toward Independence,1948
The Towering Inferno,1974
Toy Story,1995
Toy Story 3,2010
Traffic,2000
Training Day,2001
Transatlantic,1931
Travels with My Aunt,1972
The Treasure of the Sierra Madre,1948
A Tree Grows in Brooklyn,1945
Trevor,1994
The Trip to Bountiful,1985
The True Glory,1945
True Grit,1969
Tsotsi,2005
Tweetie Pie,1947
Twelve O'Clock High,1949
Twin Towers,2002
Two Arabian Knights,1927
The Two Mouseketeers,1951
Two Soldiers,2003
Two Women ,1961
U-571,2000
Undefeated,2011
Underworld,1928
Unforgiven,1992
The Untouchables,1987
Up,1984
Up,2009
The Usual Suspects,1995
The V.I.P.s,1963
Vacation from Marriage ,1946
The Vanishing Prairie,1954
Vicky Cristina Barcelona,2008
Victor Victoria,1982
Violet,1981
The Virgin Spring ,1960
Visas and Virtue,1997
Viva Villa!,1934
Viva Zapata!,1952
Waikiki Wedding,1937
Walk the Line,2005
WALL-E,2008
Wall Street,1987
The Wrong Trousers,1993
Wallace & Gromit: The Curse of the Were-Rabbit,2005
War and Peace ,1968
Wasp,2004
Watch on the Rhine,1943
Water Birds,1952
The Way of All Flesh,1927
The Way We Were,1973
West Side Story,1961
The Westerner,1940
The Wetback Hound,1957
What Dreams May Come,1998
What Ever Happened to Baby Jane?,1962
When Tomorrow Comes,1939
When Magoo Flew,1954
When We Were Kings,1996
When Worlds Collide,1951
White Nights,1985
White Shadows in the South Seas,1928
White Wilderness,1958
Who Framed Roger Rabbit,1988
Who's Afraid of Virginia Woolf?,1966
Who's Who in Animal Land,1944
Why Man Creates,1968
Wilson,1944
Wings,
Winnie the Pooh and the Blustery Day,1968
With a Song in My Heart,1952
With Byrd at the South Pole,1930
With the Marines at Tarawa,1944
Witness,1985
Witness to War: Dr. Charlie Clements,1985
The Wizard of Oz,1939
The Wolfman,2010
The Woman in Red,1984
Woman of the Year,1942
Wonder Boys,2000
Wonder Man,1945
The Wonderful World of the Brothers Grimm,1962
Woodstock,1970
Work Experience,1989
Working Girl,1988
World of Kids,1951
Wrestling Swordfish,1931
Written on the Wind,1956
Wuthering Heights,1939
Yankee Doodle Dandy,1942
The Yankee Doodle Mouse,1943
A Year Toward Tomorrow,1966
The Yearling,1946
Yentl,1983
"Yesterday, Today and Tomorrow ",1964
You Can't Take It with You,1938
You Don't Have to Die,1988
You Light Up My Life,1977
Young at Heart,1987
The Young Victoria,2009
Zero Dark Thirty,2012
Zorba the Greek ,1964
